system:index,elevation_m,grid_id,latitude,longitude,.geo
000000000000000000a2,582.0969076516444,HYD_0163,17.549769884738293,78.48381006532676,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a3,589.9393861215636,HYD_0164,17.54988915525159,78.49322364045914,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a4,600.1573960214579,HYD_0165,17.550009545492557,78.50263682654308,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a5,608.8216996616757,HYD_0166,17.550128057274417,78.51205106785035,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a6,613.9911074179694,HYD_0167,17.55024586059235,78.52146536000654,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a7,608.8122937335195,HYD_0168,17.550364036664266,78.53087851496088,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a8,600.514347750333,HYD_0169,17.5504799639144,78.54029169366748,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a9,591.8359308026145,HYD_0170,17.550596668600456,78.54970637170624,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000aa,587.7237532061376,HYD_0171,17.550714420316023,78.55912133446253,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ab,596.0231254145094,HYD_0172,17.550828881728634,78.56853524243876,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac,591.3870111680372,HYD_0173,17.550943735328175,78.57794879628719,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ad,585.0840037393076,HYD_0174,17.551059687133836,78.58736195970273,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ae,576.73135168081,HYD_0175,17.551174867810353,78.59677659695143,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000af,565.6403002270802,HYD_0176,17.55128782319929,78.60619122458712,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b0,559.1591021758936,HYD_0177,17.55140189516244,78.61560627718418,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b1,552.4518021849952,HYD_0178,17.551515941062622,78.62501977451866,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b2,561.3344178254322,HYD_0179,17.55162821540411,78.63443444931252,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b3,524.7315917355096,HYD_0180,17.537479115158007,78.239223212965,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b4,527.4433895555951,HYD_0181,17.537611400982993,78.24863414819143,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5,530.3284281362371,HYD_0182,17.537742211492905,78.25804509206911,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6,533.3120846640281,HYD_0183,17.53787222760345,78.26745599159287,"{""type"":""MultiPoint"",""coordinates"":[]}"
